"Html Form","Attachments","Flash content","Html iFrame","HTML content","URLs","External Resources","Javascript","Css","IPs in URLs","@ in URLs","Encoding","Phishy"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","quoted-printable","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","1","0","0","0","True","False","quoted-printable","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","quoted-printable","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","1","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","1","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","1","0","0","0","False","False","7bit","False"
"False","0","False","False","True","1","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","3","0","0","0","False","False","quoted-printable","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","2","0","0","0","False","False","quoted-printable","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","none","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"False","0","False","False","True","0","0","0","0","False","False","7bit","False"
